text,domain
customize toolbar clears URL,firefox
3.2% increase in Phoenix Ts after bookmark landing,firefox
cannot close folder with single click on twistie,firefox
Pref UI to specify a proxy server for web navigation,firefox
Implement improved,firefox
Implement global Go menu,firefox
Readd Open Location,firefox
Need tab loading icon,firefox
first Mozilla Firefox window ignored by nsIWindowMediator,firefox
first Phoenix window ignored by nsIWindowMediator,firefox
preferences no longer works,firefox
Open Personal Toolbar folder in toolbar,firefox
"web search for """" in context menu don't work",firefox
Fix full screen to have smaller icons,firefox
Port patch to bug 164006 (wyciwyg: in tab titles),firefox
[cust] Add more off-by-default toolbar buttons,firefox
textmode buttons need hover state,firefox
enable nsITheme form control goodness for Phoenix,firefox
rename executable and profile dir,firefox
Need to enable wallet (password manager manager manager),firefox
New Extension Manager,firefox
the changes to mozbrowser too confusing and too much,firefox
Missing proxy image,firefox
Cannot File > New Bookmark while managing a new folder,firefox
Bookmarks are not loaded if the Personal Toolbar is switched off,firefox
Pretty up dns error page a bit,firefox
middle click (pt+bookmark menu) loads in the current tab + new tab,firefox
Nightly for 22 Sept displays page details above window,firefox
Ctrl-W does not close the current tab,firefox
listboxes and tree views don't support themes on winxp,firefox
Ctrl+Mousewheel should resize text,firefox
bookmarks should import Mozilla's bookmarks,firefox
Please tell people to use a new profile.,firefox
combine links + toolbar,firefox
File | Import ... does not work cannot import 4.x,firefox
About dialog weirdness,firefox
Context menu doesn't appear when right clicking on disabled forward or back,firefox
can't specify cookie details,firefox
Proxy settings in prefs.js seem to be ignored...,firefox
Incorrectly renders various web pages,firefox
Window won't show completely,firefox
Can't change privacy settings,firefox
"[Moz] Cannot set ""Imported IE Favorites"" to default personal toolbar folder",firefox
pheonix,firefox
Need smaller throbber to use with small icons,firefox
Blank URL bar after using Customize Toolbar,firefox
Mousewheel does not scroll web page,firefox
ctrl+tab should switch tabs in browser,firefox
favicon.ico colors render improperly in tabs and URL bar,firefox
-remote openurl() opens Mozilla window if Mozilla is running,firefox
make preferences resizable,firefox
Scroll bar becomes blank,firefox
fix addressbar dropdown icon for linux.,firefox
"""Find Next"" button doesn't always respond to Enter",firefox
Ctrl+Mousewheel should cycle tabs,firefox
A new icon for Firebird,firefox
2nd Copy won't load with same profile,firefox
width of table containing text being handled incorrectly (multiple screenwidths wide),firefox
"accessing ""navigator.cookieEnabled"" produces ""uncaught exception""",firefox
Need Mozilla Firebird newsgroup,firefox
Revive XUL preprocessor,firefox
Phoenix needs talkback,firefox
Navigation toolbar is completely blank,firefox
Phoenix refuses to start due missing libstdc++-libc6.2-2.so.3,firefox
restore image blocking in Phoenix,firefox
error when dragging from empty area on personal toolbar to window,firefox
no url bar back or forward buttons,firefox
fullscreen minimize,firefox
scroll bar button arrows magically move,firefox
implement middle click paste to load URL for Windows,firefox
auto-imported ie favorites (on every restart) do not resolve.,firefox
URL toolbar missing off Phoenix nightly for 25 September,firefox
Cache appears twice in preferences,firefox
Open new window (script) on onload doesn't work,firefox
Ability to set tabgroups as homepages,firefox
No wordwrap on news article pages,firefox
no resume choice in download manager,firefox
right mouse menu has open window in first position insetad of open new tab,firefox
unexplained crash(s),firefox
Can't import Mozilla bookmarks,firefox
Bookmarks disappear after installation,firefox
Fix appearance of urlbar dropdown on Linux,firefox
Changes to get os building,firefox
Clicking on a targeted link opens a blank window,firefox
Missing address Bar,firefox
Blank Navigation Toolbar,firefox
missing buttons,firefox
left tab toolbar resizable,firefox
Do everything possible to minimize the build size,firefox
[cust] new toolbar customization features,firefox
fixup after dropping communicator.css,firefox
address bar not showing up.,firefox
[cust] No URL bar on tool bar stops bookmarks from loading,firefox
middle click on a tab should close it,firefox
closing a tab focuses the left tab,firefox
Version number is too low.,firefox
sorting bookmarks from the view menu has been broken for too long.,firefox
File -> Open Location does not open a dialog box.,firefox
Trying to submit bug 171196 generated error.,firefox
256 color mode does strange things,firefox
[cust] customize should be a dialog,firefox
[cust] represent all personal toolbar bookmarks with one item,firefox
[cust] text labels for address field and search fields.,firefox
[cust] cancel is buggy,firefox
Browser is ignoring the attibute TITLE in TAG <img...,firefox
Back button skips page if error,firefox
Text doesn't wrap,firefox
Created what I think is a nice Phoenix icon.,firefox
[cust] able to get two URLbars when customizing toolbars,firefox
[cust] Creating a new toolbar with same name as standard toolbar should give an error,firefox
"Implement ""Use Bookmark"" menubutton in General prefs",firefox
redesign of how we expose bookmark groups / launching multiple tabs from bookmarks,firefox
use more userfriendly icons,firefox
"showing ""icons&text"" shows reload and stop labels right to the buttons",firefox
after customizing toolbars urlbar is empty,firefox
removing all items from a toolbar deletes it,firefox
[cust] When the URL text box is hidden,firefox
[cust] You can make a toolbar button part of the URL bar inplace of the favicon.,firefox
Phoenix won't start on Windows 9x,firefox
Add popup whitelisting,firefox
file->export shows strange characters as file type,firefox
Can't tab into urlbar autocomplete,firefox
Edit -> Preferences == Freeze,firefox
[cust] Customize toolbar windows is incorrectly sized when using larger fonts,firefox
[cust] linux customize sheet comes up in the wrong place(s),firefox
new address autocomplete (satchel) no longer allows tabbing to popup,firefox
[cust] restore default set doesn't restore palette completely,firefox
when dns error page is presented and you click back button you go back 2 pages,firefox
middle-paste of url in content area should load that page,firefox
image files checked in without binary flag,firefox
view image opens new window,firefox
scripts opens windows instead of tabs,firefox
ALT+F is mapped to Find instead of File menu,firefox
Needs to be more space between toolbarbuttons,firefox
"Mozilla Firefox creates a profile directory called ""Mozilla""",firefox
Background of Go button should be transparent,firefox
Phoenix fails to import Mozilla bookmarks,firefox
Dropmarker doesn't depress in non-luna,firefox
Autocomplete is broken in Homepage pref,firefox
implement toolbar search in page,firefox
Focus is not on page after going to page via bookmark,firefox
Ctrl-click should open bookmark in a new tab,firefox
crash on http://,firefox
Implement work offline,firefox
Add close button to sidebar,firefox
Implement toolbar overflow,firefox
Implement deletion of individual autocomplete results,firefox
Add dropmarker to icon in search bar,firefox
enter key in the bookmark manager does not load the selected bookmark,firefox
Add View -> Sidebars,firefox
Browser Crash,firefox
icons for customize toolbar additions.,firefox
Microsoft Web Outlook newsgroup posting will not allow reply to group,firefox
Download Manager finishes large files prematurely,firefox
Unable to create a new folder when selecting first ADD BOOKMARK,firefox
Add support for a <toolbar> to the right of the menu bar,firefox
Phoenix Quits When Attempting to Access MyCheckFree.Com,firefox
Will not open new window to Download Creative drivers,firefox
tweaking of the View menu,firefox
mix of large and small icons on toolbars,firefox
Doesn't display 404,firefox
Mozilla Firebird forgets icon size and forces small toolbar buttons,firefox
Bad icons,firefox
Bookmarks display exceeds toolbar display area.,firefox
"[Cust] Closing the toolbars customisation window without clicking on ""Done""",firefox
Typeahead find + F3 doesn't find next,firefox
Can't delete bookmark using popup menu,firefox
Delete searchplugins dir,firefox
Bookmark Separators Misplaced in Sidebar,firefox
Get rid of Tools>History,firefox
New Folder... button in Add Bookmark dialog is broken,firefox
can't create or manage folders,firefox
Phoenix does't open a new POPUP Window,firefox
Customize Toolbar panel doesn't launch prperly with Modern Theme,firefox
icons,firefox
"phoenix.exe version info lists application as ""Mozilla""",firefox
Customize Toolbar crashes Phoenix,firefox
tag MAILTO not supported,firefox
bookmarks manager doesn't show groupmark icons,firefox
"Phoenix gives ""connection failure",firefox
[cust] customize dialog doesn't appear menubar inactive,firefox
Can't create a separate toolbar configuration for full screen mode,firefox
Search box should have distinct icons for each type of search,firefox
Put back in all context menus (including images),firefox
remove Exit from File menu and replace with Close,firefox
[cust] Need 'Remove (user-added) Toolbar' option,firefox
POSTDATA confirm,firefox
I cannot export individual bookmark folders in Bookmark manager.,firefox
The search for your bug results box is black,firefox
Unable to display news stories correctly,firefox
Text running off page,firefox
[Moz] Make Export / Import specific to the managed folder,firefox
"Selecting ""grouped"" tabs saved as a bookmark from menu replicates tab set",firefox
Keyboard weirdness when editing forms,firefox
useragent pref in all.js messes up Yahoo! compose,firefox
When Phoenix is checking for default browser NO is missing from the button,firefox
Crash when moving splitter in sidebar,firefox
problems with loading sites,firefox
Slow to focus autocomplete textboxes,firefox
resizer visible when maximized,firefox
Cancelling a creation of new bookmark folder still leaves a folder called New Folder,firefox
[Moz] JavaScript error when hitting Cancel in Add Bookmark dialog,firefox
Choosing Expand on PT produces JavaScript error,firefox
"""Opens a new window"" toolbar button has incorrect tooltip",firefox
"Encryption security warnings: ""alert me whenever"" should stay checked",firefox
bookmark schedule opens some sort off cros betwean mozilla and phoenix(0.2),firefox
Toolbar customization doesn't work properly,firefox
[Moz] Make the 'set as bookmark toolbar folder' not suck,firefox
minor error with Go button's tooltip,firefox
right click on URL field down arrow bug,firefox
add toolbar list to context menu of toolbars,firefox
[cust] Set flex on textbox in toolbar,firefox
Custom toolbars are always visible when opening a window.,firefox
javascript click() fails to activate links,firefox
Bookmark menu refuses to scroll down,firefox
Maybe you implement some mouse-gestures,firefox
Focus Search bar shortcut not compatable with foreign keyboard layout,firefox
Paste does not work in HTTP-proxy field,firefox
Proxy: Support for Microsoft Proxy Server?,firefox
Sidebar does not persist state across sessions,firefox
"Crash when trying to browse ""back"" after the PDF file failed to be generated",firefox
Window locked after using About Phoenix dialog,firefox
group bookmark doesn't reload tabs,firefox
when placing bookmarks and nav toolbar on the same row,firefox
Print Preview toolbar is busted,firefox
History Quick Search should be case insensitive,firefox
Support context menus on menuitems,firefox
new add bookmark dialog,firefox
Sidebars need tooltips for croppeed text,firefox
Preferences broken when using Windowblinds,firefox
Can't DnD reorder bookmarks in the same folder on Personal Toolbar,firefox
Phoenix doesn't build with jprof enabled,firefox
256 colors theme,firefox
Can not use Javascript to add new side bar,firefox
Save Page As shuld offer Page Caption as file name,firefox
Drag URL from Navigation toolbar to Bookmarks Menu don't work,firefox
crash when closing main window browser,firefox
long password can't work properly,firefox
chrome: need URL for networking core tests,firefox
Download themes from deskmod and mozdev.org cannot apply themes,firefox
keyword: URL displayed after using Internet Keywords,firefox
Mozgesture extension prevents proxy authentication to work,firefox
charset autodetector not working,firefox
Remove modern listing now that we don't package modern theme.,firefox
accel-shift-l keystroke does nothing,firefox
Customizing toolbar only updates current window,firefox
add vbox appcontent hook,firefox
Do not allow ctrl+dragging (or remove the + pointer) in Toolbar Customization,firefox
Context menu items in Bookmarks sidebar don't always work,firefox
can't reload the preference toolbar after click on the hide button,firefox
[cust] File,firefox
Bookmark sorting occurs ONLY in the management window. Sorts are not reflected in browser window,firefox
url drop-down box appears to the left of the url bar,firefox
Under >Edit>Preferences pulldown,firefox
Changes to get os building,firefox
problem with bookmark checker launching windows,firefox
bookmark this group of tabs option not available,firefox
pop-up windows have old mozilla throbber instead of new phoenix one,firefox
cannot apply themes in prefernces,firefox
Location bar disappears after drag and release in customize toolbar mode,firefox
Character Coding menu does not reflect current character coding,firefox
theme icon trouble,firefox
accel-click (ctrl-click / command-click) on personal toolbar does not open folder as a group of tabs,firefox
Popup window are off the screen!,firefox
Mozilla Firebird should not try to use $MOZILLA_FIVE_HOME,firefox
Java error when starting Phoenix,firefox
Context menu for phantom bookmark after using Find,firefox
JS error when dragging invalid URLs into the Downloads sidebar,firefox
Crash when quickly trying to select sites from URL bar while typing URL [@ gkcontent.dll ],firefox
progress percentage in download sidebar differs from the real one,firefox
Phoenix-0.2 will not run because of missing libstdc++,firefox
Multiple instances of phoenix stop responding if the download choice window stay opened,firefox
autocomplete popup doesn't appear when manually prepending http://,firefox
"""Current Downloads"" (in downloads sidebar) is not updated when the path where the downloaded file is saved contains an accent",firefox
Allow external source viewer,firefox
Home button should be visible by default,firefox
about:mozilla is useless,firefox
Add a pause link right to the Cancel link in the download manager,firefox
the browser crashes if you open the link (no java plugin),firefox
Mozilla Firefox should look for plugins in user's application home directory,firefox
Rename Preferences to Options,firefox
os only - customizing toolbar doesn't work,firefox
Login for forum unsuccessful.,firefox
Can't hide download windows,firefox
Phoenix crashes when opening preferences menu if download dialog is open,firefox
Options for where to open URLs from other applications (reuse tab,firefox
regression: chevron appears when starting browser,firefox
Tab prefs should allow changing new tab contents,firefox
Page not clear,firefox
using gestures (0.3.5) to view source of an image crashes pheonix (0.2),firefox
javascript onLoad,firefox
Pageload and startup spiked when Go menu landed,firefox
Deleting bookmarks doesn't give a visual indication that they are deleted,firefox
External Mail Program Support,firefox
With cache set to 0,firefox
Middle-click empty page area to load copied URL,firefox
Block all new-window opening in favour of opening tabs (new preference),firefox
Exception occurs when adding a bookmark without specifying folder,firefox
Cannot add bookmark; OK button doesn't do anything,firefox
Functionality missing to set HTTP version for proxy servers,firefox
MNG format animations embeded into page crash phoenix,firefox
"""phoenix -P profilename"" brings up profile creation wizard",firefox
New window icon has wrong pop-up test,firefox
New window icon has wrong pop-up text,firefox
Popup whitelisting infrastructure (in Mozilla trunk),firefox
Add mailto handler to allow the use of third party email clients,firefox
Phoenix doesnt shut down after being closed,firefox
dragging bookmark folders into toolbar and clicking will not expand the folder,firefox
manage bookmarks causes fatal error,firefox
Favicon changing when a page contains an <iframe> with refresh,firefox
Bookmarks are not loaded,firefox
Use typeahead find in search bar,firefox
toolbar visibility,firefox
Open in tabs is displayed multiple times in Bookmarks menu,firefox
flash games display problem (pheonix specific),firefox
Can't open mozilla and phoenix simultaneously,firefox
Display Favicons in location bar when using autocomplete bar dropdown,firefox
print preview doesn't have toolbars,firefox
Focus not on page when going to page from bookmark menu (not panel),firefox
Javascript prefs are always blank,firefox
[cust] Dragging a pressed button to customize window puts a pressed button in the window,firefox
Autocomplete dropdown doesn't close on tabbing,firefox
Bookmarks gone in 0.3 of 10 - user chrome is back,firefox
"""Open in tabs"" should have a prefable option: replace vs. append",firefox
Wrong bookmark icon used in tabs,firefox
"Mozilla and Phoenix information Bookmarks folder has infinitely increasing ""Open-in-tabs"" link",firefox
(correction) Open-in-tabs entry in bookmark GUI is duplicated upon viewing,firefox
Phoenix 0.2 does not start due to script name clash,firefox
Javascript should be JavaScript,firefox
additional toolbars show up on popup windows,firefox
"Pref ""network.cookie.cookieBehavior"" not set automatically in Phoenix",firefox
View | Status Bar should be after View | Sidebar For Tidyness,firefox
"The checkmark next to ""Block images from this server"" is present at wrong times",firefox
Bookmark overflow horked when location bar is customized to its own toolbar.,firefox
When a bookmark has the same string as Name and Keyword,firefox
http:// crashes phoenix always,firefox
Regression: middle-clicking on bookmarks isn't working,firefox
'open in tabs' added on every occasion,firefox
Satchel should replace password manager,firefox
Mousing down (clicking)(double-clicking) in focused textbox should open autocomplete results (as in IE),firefox
fails to start,firefox
appl. crash if I go to the above link,firefox
Need more contrast to distinguish between active and inactive tabs,firefox
Cookies Preference originating only not settable,firefox
History sidebar and Go menu aren't updated while browsing,firefox
Preferences Toolbar won't display,firefox
First time <dialog>s get cut off. XBL loading issue.,firefox
JavaScript in Phoenix 0.2 different from Mozilla 1.2a,firefox
Bookmarks do not show up in the menu,firefox
imported favorites bug,firefox
Personal toolbar does not allow objects next to the bookmarks,firefox
Open in Tabs loses its icon on mouse over,firefox
Favicons are forgotten after shutdown,firefox
xpinstall cannot package Mozilla Firebird,firefox
Middle click on bookmark is broken,firefox
preprocessor doesn't work,firefox
"Running ""firefox -remote 'xfeDoCommand(openInbox)'"" Gives an Error",firefox
Popup off viewable area,firefox
phoenix does not return error 404 for non-existing pdf file,firefox
Bookmark should keep web page icon,firefox
Fix autocomplete painting problem,firefox
Full screen is broken,firefox
"Editing bookmarks inline under the ""bookmarks"" menu",firefox
increase text size keyboard shortcut inaccurate,firefox
"Creating an impossible to get rid of copy of ""Bookmarks Toolbar Folder""",firefox
[cust] Use Small Icons loses its value when selecting Text,firefox
Javascript error: uncaught exception while opening View page Source,firefox
browser opened from About Phoenix is modal,firefox
Phoenix needs its own Icon,firefox
Error loading some kind of PNG images,firefox
Bookmark-Menu gots new entry 'open in tabs' with every visit,firefox
no dropdown marker in text mode,firefox
Bookmarks sidebar - collapsing a folder causes item that will appear under mouse to be loaded,firefox
Add Send Page (as Link) to File menu,firefox
UI pref for changing behavior of browser windows reusage,firefox
Extension preferences disappeared.,firefox
allow user to choose an icon for each bookmark folder,firefox
Close some other tab while last tab is selected = screwed,firefox
Regular suffering the internet causes a crash to occur in ntdll.dll,firefox
Speed up shutdown,firefox
Dragging URLs over toolbars incorrectly handled,firefox
Error when opening Tools>Preferences,firefox
buggy 'Open in Tabs' feature,firefox
Configuration of manual proxy for http,firefox
tabbrowser: loaded pages appear blank,firefox
Plugin Downloader Plugin reported as missing,firefox
Poor UI on Toolbar,firefox
Can't drop on right side of personal toolbar,firefox
Clean up toolbar css,firefox
cannot add bookmark without a folder without editing bookmarks,firefox
Add Open in Tabs menuitem / middle click to History,firefox
fullscreen: defaults to icon,firefox
fullscreen: min,firefox
url drop down box appears to left of url bar,firefox
separate homepage location and action on new window,firefox
No visual appearing or cannot change the character encoding in WinXP,firefox
Stop getting all the bookmark services on startup,firefox
"Cannot select ""for the originating Web site only"" in Privacy",firefox
RFE: Add email Send Page / Send Link functionality,firefox
History button should be disabled after clearing history,firefox
Notify - options to open web page in a new tab,firefox
middle click of bookmarks no longer works,firefox
Wrong favicons in bookmarks,firefox
allow sidebar to be a bottom bar (or topbar),firefox
Keyboard errors,firefox
Option to don't load images,firefox
most of the bookmarks disappeared,firefox
Sidebar shortcuts don't work when focus is in a text field (URIbar,firefox
Specific Google search freezes browser.,firefox
Open a bookmark folder in Tabs replaces all existing tabs,firefox
Toolbar preferences,firefox
Mouse gestures pref page missing,firefox
Bookmarks Toolbar overflow doesn't account for toolbar items to the right of the BT; overflow only cares about the browser border.,firefox
Bookmark properties ceased to work between 0.2 and 20021014,firefox
can't create or manage folders,firefox
Show Toolbars menu when right-clicking toolbar,firefox
crash when using Find in This Page on framed pages,firefox
preferences are not accessible if a toolbar is not displayed,firefox
Rename Tools > Preferences menu item to Options,firefox
Use Bookmark (set Home Page) dialog should not have a question mark,firefox
Install extensions to .phoenix rather than the phoenix install directory,firefox
Page Info needs done button next to Help,firefox
Ctrl-Click on a link doesn't open it in a new window or tab.,firefox
Search toolbar does nothing on Phoenix 0.3,firefox
phoenix linux-ppc milestones,firefox
Uncontrollable behaviour of the separator line,firefox
Memory consumption increases,firefox
Browser fails to display the correct character set: page unreadable,firefox
"No JavaScript-Alerts when ""open unrequestet windows"" is disabled",firefox
Phoenix 0.3 wersion opens http:// as home page insteadt what is set in preferences,firefox
"Need Atristic talent in ""About:"" menu!",firefox
"Need Artistic talent in ""About:"" menu...",firefox
Tooltip over context menu in PTB,firefox
whitelisting cookies,firefox
When customizing toolbars,firefox
strange site icons assignment,firefox
imported bookmark tab-group doesn't work like new phoenix bookmarks folder,firefox
"Customize top toolbar causes ""file",firefox
"Bookmark groups imported from Mozilla don't have ""Open in New Tab""",firefox
Preference for line numbers before bookmarks,firefox
can't delete bookmarks; edit won't work,firefox
Popup whitelist - 'Remove site' and 'Remove All Sites' button aren't grayed out when the list is empty,firefox
middle-click for new tab not working!,firefox
file -> open location,firefox
Images from a blocked site can still be saved to disk,firefox
Would like a different icon for Personal (Bookmarks) Toolbar Folder,firefox
"Is it ""Bookmarks Toolbar"" or ""Personal Toolbar""?",firefox
Ctrl+Click doesn't close tab in Linux...,firefox
Show domain in the context menu for image blocking,firefox
No hot key for autocomplete in navigation toolbar,firefox
Same accessibility keys are used for three items in view,firefox
Bookmark icons are sometimes wrong,firefox
When starting phoenix,firefox
IE bookmarks with names made of characters not covered by the system default codepage do not show up in bookmarks (e.g. russian/japanese on english Windows),firefox
A page opened by Bookmark Manager doesn't accept key input,firefox
Checkmarks missing in column pickers,firefox
Bookmark icons and folder icons are hard to distinguish,firefox
The preferences page for privacy lists cookies as delicious delicacies,firefox
Expand popup won't disappear,firefox
Change the keyboard shortcut for the Search Field,firefox
Cannot switch to new themes,firefox
home button links to mozilla.org,firefox
customizing toolbar makes toolbar unusable without restart,firefox
Problem with theme preferences: won't uninstall,firefox
Need button2 paste of url feature,firefox
"""View in tabs"" crashes Phoenix when used in Quick Search folder",firefox
Mouse wheel text size change makes scrollbars disappear,firefox
Customize toolbar breaks menus,firefox
Site icons improperly associated with bookmarks,firefox
Phoenix v.3 doesn't resize persistantly for me,firefox
Web encryption alerts continue to appear even after disabling them,firefox
Selecting text in address field,firefox
ctrl+Click does not open a new tab,firefox
various preferences non-settable,firefox
enhance view -> text size menu (was: no clear way to get text size immediately back to 100%),firefox
doesn't support intellimouse(optical) side buttons,firefox
dialogs too big,firefox
Incorrect homepage when home button is clicked on,firefox
problem removing theme,firefox
history button next to back button is too large (and much larger than it looks),firefox
Plugins cause phoenix to b0rk,firefox
Contiaing URLS from external sources in open browser,firefox
implement restore previous page on restart,firefox
View Source -- support external editor,firefox
Icons in bookmarks menu change erratically,firefox
"Toolbars customize dialog forgets ""Use small icons"" state",firefox
Toolbars customize dialog needs a Cancel button,firefox
favicons assigned to wrong bookmarks,firefox
Scrollbar is displayed incorrectly when using certain visual styles (aqua),firefox
Don't dipslay the page correctly,firefox
Print preview: no zoom function,firefox
Phoenix puts icon text near icons not under icons,firefox
preferences not using native colors,firefox
Phoenix installation hosed after crash,firefox
Starting Mozilla starts Phoenix,firefox
Password Manager Confirmation Box Has Two Messages,firefox
Implement Camino style opening tabs replace as necessary functionality,firefox
Some sidebar bookmarks have the wrong icon (Oct 17 nightly build),firefox
Phoenix stops responding when clicking the back button,firefox
Implement bookmark folder as start-up page,firefox
Clicking with middle mouse button on bookmark in bookmark sidebar doesn't work as expected.,firefox
"wrong icon to ""bookmarks toolbar""",firefox
block plugins like images,firefox
File menu options inactive after toolbar customization.,firefox
"Nameless Bookmarks Toolbar Subfolder breaks ""Add Bookmark""... ""Create In"" dropdown list",firefox
some sort of form thing in OOM situation crashed,firefox
With only one tab open,firefox
Intermittent problem with CTRL+click and middle mouse button,firefox
pasting a URL into the content window doesn't work,firefox
http://www.scripting.com/misc/msswitchad turns blue when I inadvertently tried to scroll down on the image page instead of using the mail client (Expressfind) scroller.,firefox
new modifiers,firefox
Open in new tab using Ctrl-click doesn't work anymore,firefox
Linux Java 2 plugin causes crash,firefox
Not possible to create a folder or separator between two other folders in Manage Bookmarks,firefox
Allow fine grained control of where site-icons (favicons) appear in Mozilla Firebird,firefox
url focus rectangle (dotted rectangle) goes away from last clicked link,firefox
a default option to open all new windows in tabs,firefox
Download improvement,firefox
bookmark icon causes browser lock up,firefox
Java Plug-in start up error,firefox
[rfe] icon set for Phoenix,firefox
Bookmarks Toolbar Icons are corrupt,firefox
Text increase,firefox
Text typing is very slow,firefox
Currently selected tab has bold text,firefox
Progress bars are the same color as their backgrounds,firefox
Print setup,firefox
Phoenix does not work with CDRWin5 ASPI drivers,firefox
Phoenix 0.3 crashes when rendering the example URL in a narrow window,firefox
Image blocking by directory,firefox
Double clicking on tab bar should open a new tab (Opera feature),firefox
general Page pref isn't working,firefox
Middle click on URL doesn't open new tab,firefox
More configurable image filtering,firefox
Middle click to open bookmarks in new tab is broken as of bookmarks.js 1.27,firefox
pressing enter when an autocomplete list is open shouldn't submit the form,firefox
Can't set cookie checkboxes,firefox
Customization disabled when menubar removed,firefox
Loading links in background tabs should work for bookmarks,firefox
"A ""refresh all opened tabs"" function (wish list)",firefox
Disappearing Menus,firefox
Dragging url into bookmark subfolder and dropping it just above the separator over 'open in tabs' causes the new bookmark to display as a separator.,firefox
Cookies options don't work...,firefox
Error in resizing the preference box,firefox
Location bar dropdown menu is misplaced when phoenix is maximized.,firefox
Highlight on Black Background,firefox
build error: Mozilla Firebird won't build with activestate perl,firefox
Website constantly reloads itself,firefox
Add option to prevent javascript from resizing the browser,firefox
crash upon clicking a link to a pdf file UNRELATED to the acrobat plugin,firefox
Scroll bar width does not respect your windows preference,firefox
Tab Groups wording could be slightly better,firefox
Segfault on startup in latest nightly builds not present in 0.3,firefox
Drag and drop from an empty zone of the bookmarks toolbar gives weird results,firefox
Mimizing Phoenix also minimizes Trillian,firefox
site icons in bookmarks toolbar display incorrectly,firefox
Search icon doesn't change anymore,firefox
Default icon and toolbar hight,firefox
"Mouse can't check ""For the originating web site only""",firefox
Privacy dialog box chops some buttons,firefox
"""Use encryption ..."" won't stay checked",firefox
"multiple ""Open in Tabs"" menu items when dragging bookmark",firefox
file:// bookmarks do not have icons,firefox
favicons don't update if more than one bookmark points to site,firefox
"eweek.com - links extend ""invisibly"" to end of line",firefox
remove extra bevels around toolbars,firefox
Make XUL <tab>'s focusable,firefox
should not fetch favicon.ico unless page says to,firefox
wrong favicons updated on pageload,firefox
Source tarballs for releases should be made available,firefox
Creating a new bookmark folder,firefox
Lost Menus,firefox
Phoenix does not appear to pick up new themes after selecting them via tools->prefs->themes,firefox
Page info doesn't show any information,firefox
page containing javascript newsticker cause Phoenix 0.3 to auto refresh like mad,firefox
#ifdeffing DTD files created translation nightmare,firefox
There isn't a Solaris version,firefox
NS_NewArrayEnumerator not found in xpcom.dll,firefox
Load links in the background does'nt work with bookmarks,firefox
Context menu for toolbar customization missing in menubar and bookmarks toolbar,firefox
click on customize toolbar=seize up,firefox
No way to remove a stored password,firefox
plug-in install permissions,firefox
network.cookie.enableForCurrentSessionOnly doesn't work,firefox
"Phoenix hangs when a error message occurs over the ""customize toolbars"" screen",firefox
RFE Speed test,firefox
Toolbar customization (temporarily) breaks bookmarks toolbar overflow,firefox
toolbar subfolder tab loops,firefox
Password Manager cannot be disabled,firefox
some blocked pop-ups don't register - pop up blocking needs manual adding to whitelist,firefox
